Category	Focus	English	Turkish
Occupations	Main	Lawyer	Avukat
Occupations	Main	Police Officer	Polis
Occupations	Main	Chef / Cook	Aşçı
Occupations	Main	Waiter	Garson
Occupations	Main	Student	Öğrenci
Occupations	Main	Manager	Müdür
Occupations	Main	Accountant	Muhasebeci
Occupations	Main	Driver	Şoför
Occupations	Main	Farmer	Çiftçi
Occupations	Main	Writer	Yazar
Occupations	Main	Artist	Sanatçı
Occupations	Main	Musician	Müzisyen
Occupations	Main	Actor	Oyuncu
Occupations	Main	Secretary	Sekreter
Occupations	Main	Architect	Mimar
Occupations	Main	Businessman	İş adamı
Phrases	Greetings	Hello	Merhaba
Phrases	Greetings	My name is _____	Benim adım _____
Phrases	Greetings	How are you?	Nasılsınız?
Phrases	Greetings	I am fine thank you	Teşekkür ederim iyiyim
Phrases	Greetings	Pleased to meet you	Memnun oldum
Phrases	Greetings	Pleased to meet you too	Ben de memnun oldum
Phrases	Greetings	The weather is really nice today	Bugün hava çok güzel
Phrases	Greetings	I speak English	Ben İngilizce konuşuyorum
Phrases	Greetings	I am learning Turkish	Ben Türkçe öğreniyorum
Phrases	Greetings	See you	Görüşürüz
Phrases	Questions	What's this?	Bu ne?
Phrases	Questions	This is a _______	Bu _______
Phrases	Questions	Can you help me?	Bana yardımcı olabilir misiniz?
Phrases	Questions	What does this mean?	Bu ne demek?
Phrases	Questions	I understand	Anladım
Phrases	Questions	I don't understand	Anlamadım
Phrases	Questions	Do you have a _______?	_______ var mı?
Phrases	Basic	Yes	Evet
Phrases	Basic	No	Hayır
Phrases	Basic	Please	Lütfen
Phrases	Basic	Thank you	Teşekkür ederim
Phrases	Basic	You're welcome	Rica ederim
Phrases	Greetings	Good morning	Günaydın
Phrases	Greetings	Good day	İyi günler
Phrases	Greetings	Good evening	İyi akşamlar
Phrases	Greetings	What's up? (Informal)	Ne var ne yok?
Phrases	Greetings	Welcome	Hoş geldiniz
Phrases	Greetings	Thank you (Reply to "Welcome")	Hoş bulduk
Phrases	Greetings	What is your name?	Adınız ne?
Phrases	Greetings	How old are you?	Kaç yaşındasınız?
Phrases	Greetings	I am 20 years old	Ben yirmi yaşındayım
Phrases	Greetings	Where are you from?	Nerelisiniz?
Phrases	Questions	I'm lost	Kayboldum
Phrases	Questions	Where is __________ ?	__________ neresi?
Phrases	Questions	I am looking for a __________	Ben bir __________ arıyorum
Phrases	Questions	How far is it from here?	Ne kadar uzaklıkta?
Phrases	Questions	Do you have a map?	Haritanız var mı?
Phrases	Questions	Where does this road go to?	Bu yol nereye gidiyor?
Phrases	Questions	Is this [place name] ?	Burası ____________ mı?
Phrases	Basic	Thank you very much	Çok teşekkür ederim
Directions	Main	Go straight	Düz git
Directions	Main	Turn right	Sağa dön
Directions	Main	Turn left	Sola dön
Directions	Main	Traffic lights	Trafik ışıkları
Directions	Main	Map	Harita
Restaurant	Phrases	Could we have the menu please?	Bize menüyü getirir misin?
Restaurant	Phrases	What would you like to eat?	Ne yemek istiyorsunuz?
Restaurant	Phrases	I'll have the ___________ and the ___________.	___________ ve ___________ alayım.
Restaurant	Phrases	I'll have one/two portions of the __________.	Ben bir/iki porsiyon __________ alayım.
Restaurant	Phrases	Could I have the bill please?	Hesap lütfen.
Restaurant	Phrases	Enjoy your meal.	Afiyet olsun.
Restaurant	Main	Restaurant	Lokanta
Restaurant	Main	Waiter	Garson
Restaurant	Main	Menu	Menü
Restaurant	Main	Bill	Hesap
Restaurant	Main	Food	Yemek
Restaurant	Main	Soup	Çorba
Restaurant	Main	Salad	Salata
Restaurant	Main	Bread	Ekmek
Restaurant	Main	Meat	Et
Restaurant	Main	Beef	Sığır eti
Restaurant	Main	Chicken	Tavuk
Restaurant	Main	Fish	Balık
Restaurant	Main	Rice	Pilav
Restaurant	Main	Dessert	Tatlı
Restaurant	Main	Drink	İçecek
Restaurant	Main	Water	Su
Restaurant	Main	Cola	Kola
Restaurant	Main	Tea	Çay
Restaurant	Main	Coffee	Kahve
Shopping	Phrases	What is your size? (Clothing)	Kaç beden giyiyorsunuz?
Shopping	Phrases	My size is ___	___ beden giyiyorum
Shopping	Phrases	What color would you like?	Ne renk istiyorsunuz?
Shopping	Phrases	I would like [color]	_______ renk istiyorum
Shopping	Phrases	I would like to buy a __________	_________ almak istiyorum
Shopping	Phrases	Do you have _________?	_________ var mı?
Shopping	Phrases	How much is this?	Bunun fiyatı ne?
Shopping	Phrases	Ok, I'll take it	Tamam alacağım
Phrases	Wishes	Congratulations	Tebrikler
Phrases	Wishes	Get well soon	Geçmiş olsun
Phrases	Wishes	Bon voyage	Hayırlı yolculuklar
Phrases	Wishes	Enjoy your meal	Afiyet olsun
Phrases	Wishes	Ramadan Mubarak	Ramazanınız Mübarek Olsun
Phrases	Wishes	Eid Mubarak	Bayramınız Mübarek Olsun
Phrases	Wishes	Happy Eid	Hayırlı Bayramlar
Phrases	Wishes	Jumuah Mubarakah	Cumanız Mübarek Olsun
Phrases	Wishes	May Allah have mercy on his/her soul (when someone dies)	Allah rahmet eylesin
More Verbs	Main	To eat	Yemek
More Verbs	Main	To drink	İçmek
More Verbs	Main	To sleep	Uyumak
More Verbs	Main	To read	Okumak
More Verbs	Main	To write	Yazmak
More Verbs	Main	To speak	Konuşmak
More Verbs	Main	To open	Açmak
More Verbs	Main	To close	Kapatmak
More Verbs	Main	To live	Yaşamak
More Verbs	Main	To love / To like	Sevmek
More Verbs	Main	To learn	Öğrenmek
More Verbs	Main	To teach	Öğretmek
More Verbs	Main	To sit	Oturmak
More Verbs	Main	To get up	Kalkmak
More Verbs	Main	To walk	Yürümek
More Verbs	Main	To run	Koşmak
More Verbs	Main	To play	Oynamak
More Verbs	Main	To listen	Dinlemek
More Verbs	Main	To watch	İzlemek
More Verbs	Main	To start	Başlamak
More Verbs	Main	To finish	Bitirmek
More Verbs	Main	To bring	Getirmek
More Verbs	Main	To enter	Girmek
More Verbs	Main	To go out	Çıkmak
More Verbs	Main	To come back	Dönmek
More Verbs	Main	To forget	Unutmak
More Verbs	Main	To remember	Hatırlamak
More Verbs	Main	To pay	Ödemek
More Verbs	Main	To cook	Pişirmek
More Verbs	Main	To wash	Yıkamak
More Verbs	Main	To wear	Giymek
More Verbs	Main	To help	Yardım etmek
More Verbs	Main	To sell	Satmak
More Verbs	Main	To call / To look for	Aramak
More Verbs	Main	To stay	Kalmak
Adjectives	People	Young	Genç
Adjectives	People	Old (people)	Yaşlı
Adjectives	People	Beautiful	Güzel
Adjectives	People	Handsome	Yakışıklı
Adjectives	People	Tall	Uzun
Adjectives	People	Short	Kısa
Adjectives	People	Thin	Zayıf
Adjectives	People	Fat	Şişman
Adjectives	People	Rich	Zengin
Adjectives	People	Poor	Fakir
Adjectives	People	Sick	Hasta
Adjectives	People	Hungry	Aç
Adjectives	People	Thirsty	Susamış
Adjectives	People	Busy	Meşgul
Adjectives	People	Ready	Hazır
Adjectives	People	Clever	Akıllı
Adjectives	People	Hardworking	Çalışkan
Adjectives	People	Lazy	Tembel
Adjectives	People	Quiet	Sessiz
Adjectives	People	Brave	Cesur
Adjectives	People	Kind	Nazik
Adjectives	People	Fine	İyi
Adjectives	People	Unwell	Kötü
Adjectives	Things	Big	Büyük
Adjectives	Things	Small	Küçük
Adjectives	Things	Good	İyi
Adjectives	Things	Bad	Kötü
Adjectives	Things	New	Yeni
Adjectives	Things	Old (things)	Eski
Adjectives	Things	Hot	Sıcak
Adjectives	Things	Cold	Soğuk
Adjectives	Things	Easy	Kolay
Adjectives	Things	Difficult	Zor
Adjectives	Things	Cheap	Ucuz
Adjectives	Things	Expensive	Pahalı
Adjectives	Things	Clean	Temiz
Adjectives	Things	Dirty	Kirli
Adjectives	Things	Open	Açık
Adjectives	Things	Closed	Kapalı
Adjectives	Things	Full	Dolu
Adjectives	Things	Empty	Boş
Adjectives	Things	Heavy	Ağır
Adjectives	Things	Light (weight)	Hafif
Adjectives	Things	Fast	Hızlı
Adjectives	Things	Slow	Yavaş
Adjectives	Things	Near	Yakın
Adjectives	Things	Far	Uzak
Adjectives	Things	Important	Önemli
Adjectives	Things	Delicious	Lezzetli
Adjectives	Things	Correct	Doğru
Adjectives	Things	Wrong	Yanlış
Adjectives	Things	Long	Uzun
Adjectives	Things	A lot	Çok
Adjectives	Things	A little	Az
